name,address,city/zip,full_address,lat,lon
Eagles’ Landing,200 N. Jefferson Street,"St. James, MO 65559","200 N. Jefferson Street, St. James, MO 65559, USA",37.9987266,-91.6151854
Edg-Clif Farms & Vineyard,10035 Edg-Clif Dr,"Potosi, MO 63664","10035 Edg-Clif Dr, Potosi, MO 63664, USA",37.98186250000001,-90.90209159999999
Eichenberg Winery,103 N Olive,"Cole Camp, MO 65325","103 N Olive, Cole Camp, MO 65325, USA",38.4606556,-93.20154509999999
Endless Summer Winery,5 Grosse Ln,"Hermann, MO 65041","5 Grosse Ln, Hermann, MO 65041, USA",38.8025616,-91.4852265
Fahrmeier Family Vineyards,9364 Mitchell Trail,"Lexington, MO 64067","9364 Mitchell Trail, Lexington, MO 64067, USA",39.1232188,-93.9379549
Fence Stile Vineyards & Winery,31010 W 124th St,"Excelsior Springs, MO 64024","31010 W 124th St, Excelsior Springs, MO 64024, USA",39.316204,-94.203772
Florida Winery,20578 Monroe Rd 543,"Florida, MO 65283","20578 Monroe Rd 543, Florida, MO 65283, USA",39.4934383,-91.7866243
Four Horses and a Dog Vineyard & Winery,15010 Salem Road,"Excelsior Springs, MO 64024","15010 Salem Road, Excelsior Springs, MO 64024, USA",39.364368,-94.2233959
Giggling Grapes Winery,2111 Hastings Rd,"Jefferson City, MO 65109","2111 Hastings Rd, Jefferson City, MO 65109, USA",38.5509752,-92.28046789999999
Golden Rock Winery,955 N Business Rt 5,"Camdenton, MO 65020","955 N Business Rt 5, Camdenton, MO 65020, USA",37.9994776,-92.73055409999999
Grindstone Valley Winery,595 Clinton St,"Osborn, MO 64474","595 Clinton St, Osborn, MO 64474, USA",39.7485986,-94.3568164
Heinrichshaus Vineyard and Winery,18500 State Hwy U,"St. James, MO 65559","18500 State Hwy U, St. James, MO 65559, USA",38.0709827,-91.5438526
Hemman Winery,13022 Hwy C,"Brazeau, MO 63737","13022 Hwy C, Brazeau, MO 63737, USA",37.6608947,-89.652925
Hermannhof Winery,330 E First St,"Hermann, MO 65041","330 E First St, Hermann, MO 65041, USA",38.7064505,-91.4312003
Holy Grail Winery & Vineyard,17814 State Hwy N,"Marthasville, MO 63357","17814 State Hwy N, Marthasville, MO 63357, USA",38.6542717,-91.17208380000001
Hummingbird Vineyard and Winery,16586 Audrain Road 953,"Mexico , MO 65265","16586 Audrain Road 953, Mexico , MO 65265, USA",39.0970792,-91.9971175
Hunter Valley Winery,762 State Hwy V,"Cape Girardeau, MO 63701","762 State Hwy V, Cape Girardeau, MO 63701, USA",37.441752,-89.495069
Jowler Creek Vineyard & Winery,16905 Jowler Creek Rd.,"Platte City, MO 64079","16905 Jowler Creek Rd., Platte City, MO 64079, USA",39.432613,-94.77664899999999
KC Wineworks,1829 McGee Street,"Kansas City, MO 64108","1829 McGee Street, Kansas City, MO 64108, USA",39.0906069,-94.5798741
Keltoi Vineyard & Winery,17705 County Rd 260,"Oronogo, MO 64855","17705 County Rd 260, Oronogo, MO 64855, USA",37.3130798,-94.52286459999999
Kuenzel Valley Winery,4455 Kohl City Road,"New Haven, MO 63068","4455 Kohl City Road, New Haven, MO 63068, USA",38.6014154,-91.33439179999999
La Bella Vineyards & Winery,11644 Flournoy School Rd,"Wellington, MO 64097","11644 Flournoy School Rd, Wellington, MO 64097, USA",39.0834154,-93.9503167
LaChance Vineyards,12237 Peter Moore Ln,"DeSoto, MO 63020","12237 Peter Moore Ln, DeSoto, MO 63020, USA",38.1687878,-90.6133756
Ladoga Ridge Winery LLC,100 E Pope Ln,"Smithville, MO 64089","100 E Pope Ln, Smithville, MO 64089, USA",39.4064577,-94.57547579999999
Lake Creek Winery,15088 Boone Monument Rd.,"Marthasville, MO 63357","15088 Boone Monument Rd., Marthasville, MO 63357, USA",38.6184129,-91.0263968
Lambs and Vines Winery,228 Country View Rd,"Seymour, MO 65746","228 Country View Rd, Seymour, MO 65746, USA",37.1089545,-92.86941209999999
Leaky Roof Meadery,1306 S Azalea St,"Buffalo, MO 65622","1306 S Azalea St, Buffalo, MO 65622, USA",37.6326661,-93.1068026
Les Bourgeois Vineyards,12847 W Hwy BB,"Rocheport, MO 65279","12847 W Hwy BB, Rocheport, MO 65279, USA",38.9682211,-92.53345019999999
Lewsi Winery,57 N. Main St.,"Sainte Genevieve , MO 63670","57 N. Main St., Sainte Genevieve , MO 63670, USA",37.9808738,-90.04334399999999
Lindwedel Winery,3158 State Hwy 265,"Branson, MO 65616","3158 State Hwy 265, Branson, MO 65616, USA",36.6449377,-93.3141794
Little Hills Winery and Restaurant,710 S Main Street,"St. Charles, MO 63301","710 S Main Street, St. Charles, MO 63301, USA",38.775996,-90.483683
Lost Creek Vineyard,21356 Gore Rd,"Marthasville, MO 63357","21356 Gore Rd, Marthasville, MO 63357, USA",38.7176467,-91.3206924
Mallinson Vineyard and Hall,3029 N River Blvd,"Sugar Creek, MO 64050","3029 N River Blvd, Sugar Creek, MO 64050, USA",39.1227531,-94.4251421
Martin Brothers Winery,1623 Old Iron Rd,"Hermann, MO 65041","1623 Old Iron Rd, Hermann, MO 65041, USA",38.62617729999999,-91.4760635
